# STRUCTURE :
kanji,kana,romaji,trad,picto
# kanji : le mot en kanji
# kana : la lecture du mot en hiragana
# romaji : transcription phonétique du mot en alphabet latin
# trad : traduction en français
# picto : emoji ou pictogramme associé au mot

# VOCABULAIRE :

人,ひと,hito,personne,🧑
男,おとこ,otoko,homme,👨
女,おんな,onna,femme,👩
子,こ,ko,enfant,🧒
日,ひ,hi,soleil,🌞
火,ひ,hi,feu,🔥
月,つき,tsuki,lune,🌜
時,とき,toki,temps,⏰
水,みず,mizu,eau,💧
土,つち,tsuchi,terre,🌍
風,かぜ,kaze,vent,💨
空,そら,sora,ciel,☁️
山,やま,yama,montagne,⛰️
川,かわ,kawa,rivière,🌊
木,き,ki,arbre,🌳
花,はな,hana,fleur,🌸
雨,あめ,ame,pluie,🌧️
雪,ゆき,yuki,neige,❄️
金,かね,kane,argent,💰
刀,かたな,katana,sabre,⚔️
